2011-11-08 17:58:19 Notice: Notice (8): Undefined property: todo::$User in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/controllers/todos_controller.php, line 36]
2011-11-08 17:59:06 Notice: Notice (8): Undefined property: todo::$User in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/controllers/todos_controller.php, line 36]
2011-11-08 17:59:17 Notice: Notice (8): Undefined property: todo::$User in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/controllers/todos_controller.php, line 36]
2011-11-08 17:59:55 Notice: Notice (8): Undefined index: User in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 22]
2011-11-08 18:00:22 Notice: Notice (8): Undefined index: User in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 22]
2011-11-08 18:04:30 Notice: Notice (8): Undefined index: title in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/pages/home.ctp, line 10]
2011-11-08 18:04:54 Notice: Notice (8): Undefined index: title in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/pages/home.ctp, line 11]
2011-11-08 19:15:58 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:15:58 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:17:01 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:17:01 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:19:40 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:19:49 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:19:50 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:20:09 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 19:20:11 Notice: Notice (8): Undefined property: View::$Paginator in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/todos/index.ctp, line 5]
2011-11-08 20:35:13 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:37:15 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:41:00 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:42:18 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:42:18 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
2011-11-08 20:49:28 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:49:28 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
2011-11-08 20:58:40 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 20:58:40 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
2011-11-08 21:05:49 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 21:05:49 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
2011-11-08 21:06:27 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 3]
2011-11-08 21:06:27 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
2011-11-08 21:10:53 Notice: Notice (8): Undefined variable: todo in [/Users/paatsinsuwan/Sites/backbone/todoslist/app/views/layouts/ajax.ctp, line 4]
